number,area,class,manas_direct_nm,al_udeid_direct_nm,manas_via_north_gate_nm,al_udeid_via_south_gate_nm,south_minus_north_via_gate_nm,distance_preference,review_status,notes
1,Barney,HA,940.3,775.4,940.5,781.3,-159.1,AL_UDEID,DERIVED_PLANNING_ANALYSIS,"Distance-only preference via current OMW gate model; not a historical sortie-route claim"
2,Bart,HA,934.6,722.1,935.6,833.0,-102.6,AL_UDEID,DERIVED_PLANNING_ANALYSIS,"Distance-only preference via current OMW gate model; not a historical sortie-route claim"
3,Carl,HA,909.6,714.6,912.8,889.1,-23.7,AL_UDEID,DERIVED_PLANNING_ANALYSIS,"Near tie in gate-model distance; source domain requires operational/historical judgment"
4,Clancy,HA,769.9,909.6,770.4,952.4,181.9,MANAS,DERIVED_PLANNING_ANALYSIS,"Current planning assigns AL_UDEID; distance comparison favors MANAS and therefore requires owner review before any baseline change"
5,Homer,HA,675.5,1002.4,677.9,1051.7,373.8,MANAS,DERIVED_PLANNING_ANALYSIS,"Current planning assigns AL_UDEID; distance comparison strongly favors MANAS and therefore requires owner review before any baseline change"
6,Krusty,HA,692.6,992.7,695.2,1036.3,341.1,MANAS,DERIVED_PLANNING_ANALYSIS,"Current planning assigns AL_UDEID; distance comparison strongly favors MANAS and therefore requires owner review before any baseline change"
7,Lenny,HA,769.5,853.4,771.0,966.4,195.4,MANAS,DERIVED_PLANNING_ANALYSIS,"Strategic-reserve geometry; source domain not yet assigned"
8,Lisa,HA,819.0,750.9,839.9,1066.2,226.3,MANAS,DERIVED_PLANNING_ANALYSIS,"Direct great-circle distance favors AL_UDEID, but current gate-model distance favors MANAS; route geometry is decisive"
9,Maggie,HA,750.1,827.0,764.2,1057.8,293.6,MANAS,DERIVED_PLANNING_ANALYSIS,"Strategic-reserve geometry; source domain not yet assigned"
10,Marge,HA,729.8,837.3,762.3,1146.9,384.6,MANAS,DERIVED_PLANNING_ANALYSIS,"Strategic-reserve geometry; source domain not yet assigned"
11,Milhouse,HA,716.1,892.5,718.8,1022.3,303.5,MANAS,DERIVED_PLANNING_ANALYSIS,"Strategic-reserve geometry; source domain not yet assigned"
12,Moe,HA,640.9,940.2,651.6,1118.7,467.1,MANAS,DERIVED_PLANNING_ANALYSIS,"Strategic-reserve geometry; source domain not yet assigned"
13,Montgomery,HA,549.6,1017.8,582.9,1239.0,656.1,MANAS,DERIVED_PLANNING_ANALYSIS,"Strategic-reserve geometry; strong northern distance preference"
14,Ned,HA,470.5,1115.7,476.1,1258.0,781.8,MANAS,DERIVED_PLANNING_ANALYSIS,"Strategic-reserve geometry; strong northern distance preference"
15,Nelson,HA,431.9,1217.1,447.4,1299.3,851.9,MANAS,DERIVED_PLANNING_ANALYSIS,"Current MANAS assignment is strongly supported by distance comparison"
16,Patty,HA,505.4,1200.0,533.1,1251.1,717.9,MANAS,DERIVED_PLANNING_ANALYSIS,"Current MANAS assignment is strongly supported by distance comparison"
17,Selma,LA,856.9,742.5,863.5,951.1,87.6,MANAS,DERIVED_PLANNING_ANALYSIS,"HAAR disabled pending mod; route-model preference only"
18,Seymour,LA,716.5,960.7,717.8,1007.9,290.1,MANAS,DERIVED_PLANNING_ANALYSIS,"HAAR disabled pending mod; strong northern distance preference"
19,Smithers,LA,489.5,1102.1,492.8,1236.8,744.0,MANAS,DERIVED_PLANNING_ANALYSIS,"HAAR disabled pending mod; strong northern distance preference"
